,ll,Bluewidth,Redwidth,Maxratio,fmin,fmin_sp,Blueratio,Redratio,Fullratio,Element,ionisation,Teff,logg,FeH,Resolution,min_snr_res,min_snr_AA
218,4220.0,4219.7,4220.4,0.898,0.773,0.753,0.898,0.886,0.89,Fe,1,5750.0,4.5,0.0,20000,19,43
219,4220.3,4220.0,4220.7,0.886,0.664,0.629,0.886,0.731,0.82,Fe,1,5750.0,4.5,0.0,20000,13,29
257,4278.2,4277.9,4278.6,0.805,0.741,0.647,0.547,0.805,0.669,Fe,1,5750.0,4.5,0.0,20000,17,37
258,4282.4,4282.1,4282.7,0.835,0.426,0.41,0.835,0.664,0.74,Fe,1,5750.0,4.5,0.0,20000,7,16
268,4315.1,4314.8,4315.4,0.855,0.474,0.341,0.426,0.855,0.57,Fe,1,5750.0,4.5,0.0,20000,8,18
0,5162.3,5161.9,5162.7,0.841,0.546,0.516,0.841,0.764,0.8,Fe,1,5750.0,4.5,0.0,20000,9,19
2,5166.3,5165.9,5166.7,0.627,0.615,0.528,0.627,0.573,0.599,Fe,1,5750.0,4.5,0.0,20000,11,22
3,5167.5,5167.1,5167.9,0.789,0.306,0.214,0.542,0.789,0.646,Fe,1,5750.0,4.5,0.0,20000,6,12
255,5169.0,5168.6,5169.4,0.861,0.404,0.311,0.562,0.861,0.68,Fe,2,5750.0,4.5,0.0,20000,7,14
4,5171.6,5171.2,5172.0,0.732,0.419,0.37,0.732,0.592,0.654,Fe,1,5750.0,4.5,0.0,20000,7,15
5,5178.8,5178.6,5179.0,0.6,0.906,0.873,0.6,0.578,0.589,Fe,1,5750.0,4.5,0.0,20000,47,94
6,5180.1,5179.8,5180.3,0.709,0.82,0.781,0.709,0.648,0.677,Fe,1,5750.0,4.5,0.0,20000,24,49
7,5187.9,5187.7,5188.2,0.759,0.812,0.768,0.65,0.759,0.701,Fe,1,5750.0,4.5,0.0,20000,23,46
8,5191.5,5191.1,5191.8,0.968,0.431,0.42,0.968,0.922,0.944,Fe,1,5750.0,4.5,0.0,20000,7,15
9,5192.3,5192.0,5192.7,0.858,0.395,0.376,0.858,0.858,0.858,Fe,1,5750.0,4.5,0.0,20000,7,14
10,5194.9,5194.6,5195.3,0.967,0.508,0.504,0.949,0.967,0.959,Fe,1,5750.0,4.5,0.0,20000,9,17
11,5195.5,5195.1,5195.9,0.963,0.555,0.548,0.957,0.963,0.96,Fe,1,5750.0,4.5,0.0,20000,10,19
12,5196.1,5195.7,5196.4,0.916,0.646,0.633,0.916,0.687,0.797,Fe,1,5750.0,4.5,0.0,20000,12,24
256,5197.6,5197.3,5197.9,0.864,0.687,0.679,0.864,0.788,0.824,Fe,2,5750.0,4.5,0.0,20000,14,28
13,5197.9,5197.5,5198.2,0.902,0.858,0.85,0.329,0.902,0.455,Fe,1,5750.0,4.5,0.0,20000,31,62
14,5198.7,5198.4,5199.0,0.965,0.632,0.624,0.866,0.965,0.914,Fe,1,5750.0,4.5,0.0,20000,12,23
15,5202.3,5201.9,5202.7,0.986,0.468,0.467,0.986,0.965,0.977,Fe,1,5750.0,4.5,0.0,20000,8,16
17,5208.6,5208.2,5209.0,0.709,0.549,0.39,0.307,0.709,0.429,Fe,1,5750.0,4.5,0.0,20000,9,19
18,5215.2,5214.8,5215.6,0.939,0.546,0.52,0.939,0.87,0.903,Fe,1,5750.0,4.5,0.0,20000,9,19
19,5216.3,5215.9,5216.7,0.899,0.532,0.512,0.899,0.812,0.853,Fe,1,5750.0,4.5,0.0,20000,9,18
20,5217.4,5217.0,5217.8,0.987,0.582,0.581,0.961,0.987,0.975,Fe,1,5750.0,4.5,0.0,20000,10,21
21,5217.9,5217.5,5218.2,0.972,0.772,0.76,0.972,0.528,0.739,Fe,1,5750.0,4.5,0.0,20000,19,38
22,5221.0,5220.8,5221.4,0.918,0.87,0.846,0.606,0.918,0.761,Fe,1,5750.0,4.5,0.0,20000,34,67
23,5221.4,5221.0,5221.6,0.92,0.941,0.937,0.92,0.59,0.809,Fe,1,5750.0,4.5,0.0,20000,76,149
24,5222.4,5222.2,5222.6,0.866,0.914,0.896,0.866,0.543,0.667,Fe,1,5750.0,4.5,0.0,20000,52,102
25,5223.2,5222.9,5223.4,0.959,0.795,0.792,0.851,0.959,0.902,Fe,1,5750.0,4.5,0.0,20000,21,42
26,5225.5,5225.2,5225.9,0.944,0.711,0.708,0.944,0.729,0.819,Fe,1,5750.0,4.5,0.0,20000,15,30
27,5226.9,5226.5,5227.3,0.993,0.377,0.374,0.692,0.993,0.871,Fe,1,5750.0,4.5,0.0,20000,7,14
28,5227.2,5226.8,5227.6,0.991,0.294,0.29,0.991,0.988,0.99,Fe,1,5750.0,4.5,0.0,20000,6,12
29,5228.4,5228.0,5228.7,0.975,0.773,0.77,0.95,0.975,0.961,Fe,1,5750.0,4.5,0.0,20000,19,38
30,5229.8,5229.5,5230.2,0.994,0.506,0.506,0.994,0.833,0.903,Fe,1,5750.0,4.5,0.0,20000,9,17
31,5232.9,5232.5,5233.3,0.999,0.318,0.318,0.983,0.999,0.991,Fe,1,5750.0,4.5,0.0,20000,6,12
257,5234.6,5234.3,5234.9,0.943,0.681,0.674,0.919,0.943,0.931,Fe,2,5750.0,4.5,0.0,20000,14,27
32,5235.4,5235.1,5235.7,0.618,0.718,0.633,0.618,0.577,0.597,Fe,1,5750.0,4.5,0.0,20000,15,31
33,5236.2,5236.0,5236.5,0.95,0.831,0.823,0.95,0.93,0.939,Fe,1,5750.0,4.5,0.0,20000,26,52
34,5241.9,5241.7,5242.1,0.976,0.883,0.882,0.967,0.976,0.972,Fe,1,5750.0,4.5,0.0,20000,38,75
35,5242.5,5242.1,5242.8,0.991,0.672,0.67,0.981,0.991,0.986,Fe,1,5750.0,4.5,0.0,20000,13,26
36,5243.8,5243.5,5244.0,0.953,0.764,0.756,0.836,0.953,0.89,Fe,1,5750.0,4.5,0.0,20000,19,37
38,5247.0,5246.8,5247.3,0.815,0.736,0.73,0.815,0.802,0.808,Fe,1,5750.0,4.5,0.0,20000,17,33
39,5249.1,5248.9,5249.3,0.949,0.86,0.856,0.949,0.846,0.894,Fe,1,5750.0,4.5,0.0,20000,32,62
40,5250.2,5250.0,5250.6,0.995,0.737,0.736,0.973,0.995,0.988,Fe,1,5750.0,4.5,0.0,20000,17,33
41,5250.6,5250.3,5251.0,0.994,0.637,0.634,0.994,0.92,0.963,Fe,1,5750.0,4.5,0.0,20000,12,24
42,5253.0,5252.8,5253.4,0.976,0.912,0.908,0.902,0.976,0.961,Fe,1,5750.0,4.5,0.0,20000,51,99
43,5253.5,5253.1,5253.8,0.981,0.689,0.686,0.981,0.936,0.961,Fe,1,5750.0,4.5,0.0,20000,14,28
44,5255.0,5254.7,5255.2,0.63,0.713,0.589,0.63,0.436,0.515,Fe,1,5750.0,4.5,0.0,20000,15,30
45,5255.7,5255.4,5256.0,0.815,0.729,0.7,0.612,0.815,0.726,Fe,1,5750.0,4.5,0.0,20000,16,32
258,5256.9,5256.8,5257.1,0.845,0.93,0.917,0.845,0.803,0.823,Fe,2,5750.0,4.5,0.0,20000,64,125
46,5257.7,5257.5,5257.8,0.695,0.936,0.9,0.561,0.695,0.62,Fe,1,5750.0,4.5,0.0,20000,70,137
48,5262.9,5262.5,5263.3,0.982,0.85,0.844,0.864,0.982,0.947,Fe,1,5750.0,4.5,0.0,20000,29,58
49,5263.3,5262.9,5263.7,0.983,0.545,0.536,0.983,0.893,0.939,Fe,1,5750.0,4.5,0.0,20000,9,19
50,5263.9,5263.5,5264.1,0.838,0.838,0.814,0.838,0.323,0.537,Fe,1,5750.0,4.5,0.0,20000,27,54
259,5264.8,5264.6,5265.0,0.868,0.823,0.812,0.868,0.734,0.796,Fe,2,5750.0,4.5,0.0,20000,25,49
51,5265.9,5265.6,5266.3,0.629,0.899,0.787,0.13,0.629,0.317,Fe,1,5750.0,4.5,0.0,20000,44,86
52,5266.6,5266.2,5266.9,0.985,0.389,0.377,0.869,0.985,0.923,Fe,1,5750.0,4.5,0.0,20000,7,14
53,5267.3,5266.9,5267.7,0.948,0.856,0.851,0.911,0.948,0.926,Fe,1,5750.0,4.5,0.0,20000,31,60
